epoch,train_loss,train_ad_loss,train_sc_loss,val_ad_f1,val_sc_accuracy,val_combined
1,0.33365873658505857,0.2836499964165973,0.35509105436825483,0.38598067849921364,0.9280835676978706,0.6570321230985421
2,0.16109621509059036,0.21911722461550567,0.1362300671331786,0.6167622778788303,0.9353153877059059,0.7760388327923682
3,0.11774724363424856,0.15327606247797074,0.10252060601294961,0.749498997995992,0.9445560466050623,0.8470275223005271
4,0.10184452471331844,0.12268046142928528,0.09291483678211723,0.8065251710226277,0.9413419043792688,0.8739335377009483
5,0.08717484260732708,0.10352616505651427,0.08016713259471053,0.8353282553500181,0.9449578143832864,0.8901430348666522
6,0.07774250817907169,0.09309681113271162,0.07116209213832646,0.852549889135255,0.9477701888308557,0.9001600389830553
7,0.07142450399119263,0.08536402457029446,0.06545042309860188,0.8654926938928438,0.9489754921655283,0.907234093029186
8,0.062017659783209764,0.07942670863318645,0.05455663814793401,0.8741923223109084,0.9521896343913219,0.9131909783511152
9,0.059867850284290994,0.07683518522768856,0.05259613459566923,0.8729407309221738,0.950582563278425,0.9117616471002994
10,0.057691110862147295,0.07697620334194276,0.049426070566969724,0.8739336492890996,0.9509843310566493,0.9124589901728744
