aspect,true,predicted,count,error_type
Performance,Negative,Positive,7,Negative -> Positive
Battery,Negative,Positive,6,Negative -> Positive
Shop_Service,Negative,Positive,6,Negative -> Positive
Design,Positive,Negative,6,Positive -> Negative
General,Neutral,Positive,6,Neutral -> Positive
Packaging,Negative,Positive,5,Negative -> Positive
General,Positive,Neutral,5,Positive -> Neutral
Shop_Service,Neutral,Positive,4,Neutral -> Positive
General,Positive,Negative,4,Positive -> Negative
Shipping,Negative,Positive,4,Negative -> Positive
Camera,Negative,Positive,4,Negative -> Positive
Performance,Positive,Negative,4,Positive -> Negative
Price,Positive,Negative,3,Positive -> Negative
General,Neutral,Negative,3,Neutral -> Negative
Display,Negative,Positive,3,Negative -> Positive
Camera,Positive,Negative,3,Positive -> Negative
Camera,Neutral,Positive,2,Neutral -> Positive
Shipping,Positive,Negative,2,Positive -> Negative
Price,Negative,Positive,2,Negative -> Positive
Camera,Positive,Neutral,2,Positive -> Neutral
Performance,Neutral,Negative,2,Neutral -> Negative
Design,Negative,Positive,2,Negative -> Positive
Design,Positive,Neutral,1,Positive -> Neutral
Performance,Negative,Neutral,1,Negative -> Neutral
Performance,Neutral,Positive,1,Neutral -> Positive
Display,Positive,Negative,1,Positive -> Negative
Packaging,Positive,Negative,1,Positive -> Negative
Price,Positive,Neutral,1,Positive -> Neutral
Battery,Positive,Neutral,1,Positive -> Neutral
Price,Negative,Neutral,1,Negative -> Neutral
Price,Neutral,Positive,1,Neutral -> Positive
Design,Neutral,Negative,1,Neutral -> Negative
General,Negative,Positive,1,Negative -> Positive
Shipping,Negative,Neutral,1,Negative -> Neutral
Shop_Service,Positive,Neutral,1,Positive -> Neutral
Battery,Neutral,Positive,1,Neutral -> Positive
Battery,Positive,Negative,1,Positive -> Negative
