"﻿A","B"
":')","Vui mừng đến rơi nước mắt"
"=))","Cười"
"=)))","Cười"
"=))))","Cười"
"=)))))","Cười"
"=]]","Thích thú"
"=]]]","Thích thú"
":(","buồn"
":((","buồn"
":(((","buồn"
":((((","buồn"
":)","cười"
":))","cười "
":)))","cười"
":))))","cười"
":))))))","cười"
":)))))))","cười"
":)))))))","cười"
"^^","Tích cực"
":3","Ưng ý"
"😎","Đẳng cấp"
"🤯","Quá bất ngờ"
"😋","Ngon"
"😂","Hài hước"
"😄","Thỏa mãn"
"😅","Cười trừ"
"🥳","Hài lòng tột độ"
"😘","Yêu thích"
"😀","Hài lòng"
"🙂","Đánh giá tích cực"
"🤗","Biết ơn sâu sắc"
"🥲","Nhẹ nhàng than thở"
"😊","Hài lòng"
"😭","Thất vọng"
"🤩","Yêu thích tuyệt đối"
"😍","Hoàn hảo"
"🤓","Phân tích"
"😉","Sự khôn ngoan"
"😵‍💫","Khó khăn"
"🤣","Thỏa mãn"
"🫢","Ngạc nhiên"
"🤔","Tò mò"
"😓","Thất vọng nhẹ"
"😑","Chán nản"
"🫡","Đánh giá cao"
"😪","Thất vọng"
"😔","Tiếc nuối"
"😞","Thất vọng rõ rệt"
"🥹","Bất lực"
"🤭","Ngượng ngùng"
"😇","Tuyệt vời"
"😗","Cảm ơn"
"😆","Hài lòng tột độ"
"🙃","Cười Trừ Bất Lực"
"🙂‍↔️","Mỉa mai sự Tiêu cực"
"🙂‍↕️","Thất vọng"
"😁","Hài lòng tuyệt đối"
"😕","Khó hiểu"
"🥸","Hài hước Mỉa mai"
"🤤","Mê mẩn"
"😩","Bất lực"
"😏","Mỉa mai"
"☹️","Khó chịu"
"😢","Thất vọng"
"😧","Bất ngờ"
"😌","Mãn nguyện"
"😝","Hài lòng"
"😷","Cẩn thận"
"😶","Không nói nên lời"
"😱","Sốc"
"😣","Than vãn"
"😐","Không ấn tượng"
"🤬","Cực kỳ Thất vọng"
"😰","Lo lắng"
"😡","Tức giận"
"🤡","Hài hước"
"😮‍💨","Nhẹ nhõm"
"🥰","Tuyệt vời"
"🥵","Nóng"
"😥","Khó khăn"
"🫠","Mệt mỏi"
"😖","Khó chịu"
"😚","Mê mẩn"
"✅","Đồng ý"
"❌","Không đồng ý"
"🫶","Cảm ơn"
"❤️","Lòng Biết ơn"
"🪅","Phấn khích"
"💓","Yêu thích nồng nhiệt"
"🫰","Yêu thích"
"👎","Không hài lòng"
"👍","Rất hài lòng"
"👉","Lưu ý"
"✋","Nhấn mạnh"
"🙌","Vui sướng"
"👊","Phản đối kịch liệt"
"👌","Tốt"
"✍️","Ghi nhận"
"💢","Giận dữ"
"🌹","Hoa hồng"
"🙏","Amen"
"🆗","OK"
"🆓","Miễn phí"
"💯","Chính xác 100%"
"♥️","Lòng Biết ơn"
"💗","Yêu thích sâu sắc"
"💔","Thất vọng tột độ"
"❤","Biết ơn"
"❤️‍🩹","Chữa lành"
"△","Điểm quan trọng"
"⚠","Cảnh báo"
"🛡","Độ bền"
"★","Đánh giá tích cực"
"⭐"," Ngôi Sao"
"🌟","Chất lượng hoàn hảo"
"🙆","Hài lòng"
"👁️👄👁️","Ngỡ ngàng"
"🐧","Ngộ nghĩnh"
"✨","Tuyệt vời"
"🔥","Chất lượng tuyệt vời"
"🚚","Giao hàng nhanh chóng"
"👨‍💼","Người bán nhiệt tình"
"😻","Hài lòng"
"🌞","Tuyệt vời ông mặt trời"
"💀","Sợ hãi"
"💸","Tiêu tiền"
"🙅","Không đồng ý"
"💩","Chất lượng cực kém"
"🔋","Pin"
"📸","Chất lượng camera"
"⚡","Hiệu năng"
"💡","Độ sáng"
"🛠️","Cài đặt dễ dàng"
"🌸","Nhiệt tình"
"💲","Giá cả"
"🍅","Sự hài lòng "
"🐟","Săn được món hời"
"🐉","Đỉnh cao"
