"ACol","BCol"
"vl","ghê"
"sp","sản phẩm"
"giao hang","giao hàng"
"chat luong","chất lượng"
"okie","tốt"
"bik","biết"
"thơi","thời"
"đc ","được "
"ok","tốt"
"thanks","cảm ơn"
"thank","cảm ơn"
"vn ","Việt Nam"
"call quality","chất lượng cuộc gọi"
"ntin","nhắn tin"
"nt ","nhắn tin "
"seen","xem"
"rep","trả lời"
"trl","trả lời"
"tr","triệu"
"fb","Facebook"
"ib","nhắn tin "
"hnay","hôm nay"
"km","khuyến mãi"
"bh","bảo hành"
"rùi","rồi"
"mún","muốn"
"sd","sử dụng"
"nv ","nhân viên"
"iu","yêu"
"lun","luôn"
"tks","cảm ơn"
"vs","với"
"sp","sản phẩm"
"r ","rồi"
"cg","cũng"
"nhìu","nhiều"
"bth","bình thường"
"dth","điện thoại"
"zậy","vậy"
"nge","nghe"
"mng","mọi người"
"mk","mình"
"mn","mọi người"
"dt","điện thoại"
"dc","được "
"hk ","không "
"hok","không "
"đtdđ","	điện thoại di động"
"model","mẫu máy"
"cam ơn","cảm ơn"
"cam sau","camera sau"
"cam trước","camera trước"
"sac","sạc"
"update","cập nhật"
"dùng","sử dụng"
"okla","ổn"
"xài","sử dụng"
"cs kh","chăm sóc khách hàng"
"nma","nhưng mà"
"ae","anh em"
"shop","cửa hàng"
"cx","cũng"
"feck","giả"
"cskh","chăm sóc khách hàng"
"cs", "chăm sóc"
"qc","quảng cáo"
"dthw","dễ thương"
"tets","test"
"ko","không"
"bit","biết"
"dthoai","điện thoại"
"tmđt","thương mại điện tử"
"đt","điện thoại"
"đth","điện thoại"
"nx","nữa"
"oki"," tốt"
"mik"," mình"
"ktra"," kiểm tra"
"m.n"," mọi người"
"hdh"," hệ điều hành"
"hđh"," hệ điều hành"
"k"," không"
"lua dao"," lừa đảo"
"j"," gì"
"ji"," gì"
"delay", "chậm"
"delayed", "chậm"
