aspect,total,correct,errors,accuracy,error_rate
Warranty,43,35,8,0.813953488372093,0.18604651162790697
General,203,168,35,0.8275862068965517,0.1724137931034483
Software,59,51,8,0.864406779661017,0.13559322033898302
Display,112,100,12,0.8928571428571429,0.1071428571428571
Design,166,149,17,0.8975903614457831,0.10240963855421692
Audio,50,45,5,0.9,0.09999999999999998
Battery,282,255,27,0.9042553191489362,0.0957446808510638
Performance,231,210,21,0.9090909090909091,0.09090909090909094
Shipping,259,241,18,0.9305019305019305,0.06949806949806947
Price,150,140,10,0.9333333333333333,0.06666666666666665
Packaging,201,192,9,0.9552238805970149,0.04477611940298509
Camera,202,193,9,0.9554455445544554,0.044554455445544594
Shop_Service,216,209,7,0.9675925925925926,0.03240740740740744
Others,22,22,0,1.0,0.0
